token_id	token_text
188165	భు
188532	 అమ్మ
188786	యోజ
189150	భర
189153	ఋతం
189159	 రుణ
189392	చర్
189547	ండోత్స
189647	వంత
189682	సీపీ
189769	ప్రదేశ
189864	వులు
190112	 నేపథ్యంలో
190127	ితీ
190205	 మాట్లాడుతూ
190263	చ్చే
190555	 హైదరాబాద్
190676	బ్‌
190871	 డా
190934	 తాను
190936	మన
191160	జయ
191176	టర్‌
191275	 హె
191300	 మొత్తం
191302	 సన్నివేశ
191428	ద్ది
191521	మాట
191549	 క్రి
191747	ండోత్సర్గ
191767	 దో
191829	క్టర్
191901	 కృషి
192093	 హో
192216	ంథ
192239	 డబ్బు
192383	చారం
192432	పోయే
192661	 సర
192768	 విలువ
192800	 ఇప్పటికే
192887	తులను
192905	నాల
192964	రావు
193096	యితే
193225	ాత్రి
193341	 చూప
193408	ికె
193411	 సార
193531	 సొ
193881	 భారతదేశ
194086	 రచ
194176	 వైద్య
194438	షణ
194606	 బు
194941	 బ్రిటిషు
194942	 అంబేద్కర్
194950	ఋతంభర
194952	ంచరీలు
195192	 బంగ
195213	 శాతం
195237	 మేము
195308	 గత
195516	 పోలీసులు
195587	 దర్శక
195675	 మీకు
196029	 కామె
196190	ద్దా
196388	 దక్షి
197044	ించాలని
197101	 ఆది
197240	కుంటు
197284	 జో
197317	 మొక్క
197655	ాలే
197804	 వైసీపీ
197977	 అనుమ
198005	 కేసు
198106	 జరిగిన
198144	ర్టు
198305	ానిక
198525	 యూని
198615	ండోత్సర్గము
198628	 పాల్గొన్నారు
198666	 కాని
198726	‌ర
199353	మంది
199452	 సినీ
199499	 రామ
199563	 జన్
199658	 రెండో
200023	లేని
200030	 ఆడ
200673	 ఇండియా
200809	 చక్ర
200820	 చెప్పు
201066	 వడయ
201077	 హైదర్
201090	 బ్రిటిష్
201122	 వరు
201144	మిక
201169	రాలు
201216	 ఇచ్చిన
201492	 పాఠ
201568	 సంబంధించిన
201764	పోయింది
201783	 తాజాగా
201900	నుక
202070	 స్క
202124	 రాజకీయ
202155	 హిట్
202158	 కామెడీ
202231	రికీ
202300	 అధికార
202389	 జ్ఞాప
202407	‌ల
202433	 సినిమాలో
202621	 సినిమాలు
202648	 పంట
202926	రించే
203185	స్వా
203205	డో
203337	 అమలు
203427	తె
203469	రుపు
203480	 లేకుండా
203528	ద్రా
203651	విధ
203793	 గౌ
203868	 ప్రముఖ
203917	నకు
204003	 సెల
204095	ర్జ
204173	 రీ
204202	 సాధారణ
204271	 దృ
204280	ఎఫ్
204475	 షూ
204551	వలం
204816	 సౌ
205032	 సూపర్
205160	ంచెం
205288	తల
205336	 విస్త
205382	ొప్పి
205442	 తిన
205600	త్రి
205634	ానం
205738	 అందుకే
205840	 సీజ
205877	ండే
205905	జర్
206001	 అభిమా
206008	 సరి
206064	కుంది
206095	పర
206200	ాల్సి
206210	ెక్టర్
206355	 కార్యక్రమంలో
206555	శు
206826	 గేమ్
206900	 ప్రకారం
206933	 గుర్తు
207301	యిత
207308	 పరిస్థి
207315	 బాధ
207341	ండె
207428	 వెళ్లి
207445	 క్రికె
207551	స్కీ
207591	న్స్‌
207725	ండ్లు
207740	 టిప్పు
207769	వెట్‌
207786	వెట్‌స్కీ
207839	 గణ
207903	డిగా
207962	 చో
208208	నుంది
208422	ోధ
208499	భవ
208537	 అమె
208785	 రైతు
208894	 ప్రేక్షకు
208959	 రోజుల
209003	డంలో
209150	 వీటి
209280	 ప్రి
209347	 రాజ్య
209552	ందరు
209620	 చేపట్ట
209683	 అధికారు
209787	డ్డు
210034	ఫో
210081	 మారింది
210171	 ఉత్పత్తి
210200	 కుమార్
210269	 అక్కడ
210571	 అంది
210938	 ఉందని
210948	వంటి
210990	ర్చి
211069	త్మిక
211195	 తిరిగి
211351	 ఎక్కువగా
211530	 దగ్
211803	 టెస్
211913	ర్‌లో
211992	ప్త
212072	 మ్యాచ్
212108	ప్రత్య
212433	‌కు
212453	‌లు
212555	 కంప
213043	 బ్యాంకు
213068	 బంగారం
213193	 నిర్మాణ
213334	ారె
213433	 అయినా
213622	 ఒప్ప
213698	 గారి
213961	సూ
213964	తారు
214238	 ప్రజా
214339	 కర్
214341	 తమిళ
214478	బడి
214519	్రీన్
214565	 ప్రకృతి
214672	టీఎం
214675	 నిషే
214808	కొని
214824	 మర
214913	ాలపై
215066	ఆడిన
215074	మ్యాచ్
215096	ప్రత్యర్థి
